TestNumber;OdiSource;Insertions;TestVariants;OdiScope;R;S;CalcMethod;Link2Evidence;Comment;JiraTasks
50027;INS_OFF;B2,Q1;8188;LowerLimit;;5;;;Updates from the Test-Q data;RSIPPTE-710
50027;INS_OFF;Q2,S2;8188;LowerLimit;;-10;;;Updates from the Test-Q data;RSIPPTE-710
50027;INS_OFF;B2,Q1;8188;UpperLimit;;-65;;;Updates from the Test-Q data;RSIPPTE-710
50027;INS_OFF;Q2;8188;UpperLimit;;-90;;;Updates from the Test-Q data;RSIPPTE-710
50027;INS_OFF;S2;8188;UpperLimit;;-100;;;Updates from the Test-Q data;RSIPPTE-710
50077;INS_OFF;B1,Q3,S1;8188;LowerLimit;;400;;;Updates from the Test-Q data;RSIPPTE-710
50077;INS_OFF;Q2,S2;8188;LowerLimit;;-190;;;Updates from the Test-Q data;RSIPPTE-710
50077;INS_OFF;B1,Q3,S1;8188;UpperLimit;;840;;;Updates from the Test-Q data;RSIPPTE-710
50077;INS_OFF;Q2;8188;UpperLimit;;-400;;;Updates from the Test-Q data;RSIPPTE-710
50077;INS_OFF;S2;8188;UpperLimit;;-455;;;Updates from the Test-Q data;RSIPPTE-710
50313;INS_OFF;B2,Q1,Q2;8188;LowerLimit;;-10;;;Updates from the Test-Q data;RSIPPTE-710
50313;INS_OFF;Q3,S1;8188;LowerLimit;;40;;;Updates from the Test-Q data;RSIPPTE-710
50313;INS_OFF;B1;8188;UpperLimit;;20;;;Updates from the Test-Q data;RSIPPTE-710
50313;INS_OFF;B2,Q1;8188;UpperLimit;;10;;;Updates from the Test-Q data;RSIPPTE-710
50313;INS_OFF;Q2;8188;UpperLimit;;-10;;;Updates from the Test-Q data;RSIPPTE-710
50313;INS_OFF;Q3,S1;8188;UpperLimit;;25;;;Updates from the Test-Q data;RSIPPTE-710
50313;INS_OFF;S2;8188;UpperLimit;;-5;;;Updates from the Test-Q data;RSIPPTE-710
50317;INS_OFF;B1,Q3,S1;8188;LowerLimit;;10;;;Updates from the Test-Q data;RSIPPTE-710
50337;INS_OFF;B1,Q3,S1;8188;LowerLimit;;5;;;Updates from the Test-Q data;RSIPPTE-710
50337;INS_OFF;Q2,S2;8188;LowerLimit;;-5;;;Updates from the Test-Q data;RSIPPTE-710
50337;INS_OFF;B1,Q3,S1;8188;UpperLimit;;5;;;Updates from the Test-Q data;RSIPPTE-710
50337;INS_OFF;S2;8188;UpperLimit;;-5;;;Updates from the Test-Q data;RSIPPTE-710
50371;INS_OFF;B1,Q3,S1;8188;LowerLimit;;-35;;;Updates from the Test-Q data;RSIPPTE-710
50371;INS_OFF;B2,Q1,Q2,S2;8188;LowerLimit;;10;;;Updates from the Test-Q data;RSIPPTE-710
50371;INS_OFF;B1,B2,Q1,Q2,Q3,S1;8188;UpperLimit;;-5;;;Updates from the Test-Q data;RSIPPTE-710
50371;INS_OFF;S2;8188;UpperLimit;;15;;;Updates from the Test-Q data;RSIPPTE-710
53059;INS_OFF;B1,Q3;8188;LowerLimit;;-9;;;Updates from the Test-Q data;RSIPPTE-710
53059;INS_OFF;B2,Q1,Q2;8188;LowerLimit;;11;;;Updates from the Test-Q data;RSIPPTE-710
53059;INS_OFF;B1,B2,Q1,Q3;8188;UpperLimit;;29;;;Updates from the Test-Q data;RSIPPTE-710
