group,kind,insertion_type,insertion,temp_c,test_number,test_name,freq_ghz,lut,lo_idac,pa_channel,corr_median,corr_mean,n,mad_multiplier
TXLO test 57040,TXLO,FE,S1,135,57040,TXLO_81LoPowCo10__D095,81,,10.0,,-3.27598860223826,-3.301943681716305,12070,5.0
TXLO test 57040,TXLO,FE,S2,-40,57040,TXLO_81LoPowCo10__D095,81,,10.0,,-3.48005970223826,-3.5218244350678396,11900,5.0
TXLO test 57040,TXLO,FE,S3,25,57040,TXLO_81LoPowCo10__D095,81,,10.0,,-3.21596424723826,-3.2635412540302884,11540,5.0
TXLO test 57041,TXLO,FE,S1,135,57041,TXLO_81LoPowCo14__D095,81,,14.0,,-1.30381365223826,-1.3335424846733896,12024,5.0
TXLO test 57041,TXLO,FE,S2,-40,57041,TXLO_81LoPowCo14__D095,81,,14.0,,-1.4231096522382602,-1.4612001977799831,11888,5.0
TXLO test 57041,TXLO,FE,S3,25,57041,TXLO_81LoPowCo14__D095,81,,14.0,,-1.20065315223826,-1.244288743084427,11558,5.0
TXLO test 57042,TXLO,FE,S1,135,57042,TXLO_81LoPowCo18__D095,81,,18.0,,0.41023584776173694,0.3788606636018307,11957,5.0
TXLO test 57042,TXLO,FE,S2,-40,57042,TXLO_81LoPowCo18__D095,81,,18.0,,0.2792093477617372,0.2444523875258484,11870,5.0
TXLO test 57042,TXLO,FE,S3,25,57042,TXLO_81LoPowCo18__D095,81,,18.0,,0.49473484776173704,0.456322223618124,11531,5.0
TXLO test 57043,TXLO,FE,S1,135,57043,TXLO_81LoPowCo22__D095,81,,22.0,,1.7523038477617399,1.7197176476946876,11931,5.0
TXLO test 57043,TXLO,FE,S2,-40,57043,TXLO_81LoPowCo22__D095,81,,22.0,,1.62476334776174,1.5922936820782747,11866,5.0
TXLO test 57043,TXLO,FE,S3,25,57043,TXLO_81LoPowCo22__D095,81,,22.0,,1.8245943477617397,1.790518525391035,11524,5.0
TXLO test 57044,TXLO,FE,S1,135,57044,TXLO_81LoPowCo27__D095,81,,27.0,,3.18522284776174,3.153297474810576,11897,5.0
TXLO test 57044,TXLO,FE,S2,-40,57044,TXLO_81LoPowCo27__D095,81,,27.0,,3.00652934776174,2.977221631550078,11868,5.0
TXLO test 57044,TXLO,FE,S3,25,57044,TXLO_81LoPowCo27__D095,81,,27.0,,3.2555923477617403,3.2241529594467826,11519,5.0
TXLO test 57045,TXLO,FE,S1,135,57045,TXLO_81LoPowCo34__D095,81,,34.0,,4.843667347761739,4.811742204928631,11888,5.0
TXLO test 57045,TXLO,FE,S2,-40,57045,TXLO_81LoPowCo34__D095,81,,34.0,,4.61211034776174,4.586961322012834,11884,5.0
TXLO test 57045,TXLO,FE,S3,25,57045,TXLO_81LoPowCo34__D095,81,,34.0,,4.8855243477617405,4.860699479915746,11532,5.0
TXLO test 57046,TXLO,FE,S1,135,57046,TXLO_81LoPowCo42__D095,81,,42.0,,6.36775834776174,6.335916953033762,11874,5.0
TXLO test 57046,TXLO,FE,S2,-40,57046,TXLO_81LoPowCo42__D095,81,,42.0,,6.053849347761741,6.03117571239148,11897,5.0
TXLO test 57046,TXLO,FE,S3,25,57046,TXLO_81LoPowCo42__D095,81,,42.0,,6.3850843477617385,6.364034202490005,11537,5.0
TXLO test 57047,TXLO,FE,S1,135,57047,TXLO_81LoPowCo51__D095,81,,51.0,,7.7746873477617395,7.741901293087423,11852,5.0
TXLO test 57047,TXLO,FE,S2,-40,57047,TXLO_81LoPowCo51__D095,81,,51.0,,7.4215333477617405,7.402277787815548,11894,5.0
TXLO test 57047,TXLO,FE,S3,25,57047,TXLO_81LoPowCo51__D095,81,,51.0,,7.76442634776174,7.74634366919031,11536,5.0
TXLO test 57048,TXLO,FE,S1,135,57048,TXLO_81LoPowCo63__D095,81,,63.0,,9.29603184776174,9.259038421413017,11826,5.0
TXLO test 57048,TXLO,FE,S2,-40,57048,TXLO_81LoPowCo63__D095,81,,63.0,,8.87082184776174,8.853450282478594,11902,5.0
TXLO test 57048,TXLO,FE,S3,25,57048,TXLO_81LoPowCo63__D095,81,,63.0,,9.266304847761742,9.250812377428264,11545,5.0
TXLO test 57049,TXLO,FE,S1,135,57049,TXLO_81LoPowCo78__D095,81,,78.0,,10.8919768977617,10.845725018464526,11781,5.0
TXLO test 57049,TXLO,FE,S2,-40,57049,TXLO_81LoPowCo78__D095,81,,78.0,,10.316963597761701,10.302525565167615,11904,5.0
TXLO test 57049,TXLO,FE,S3,25,57049,TXLO_81LoPowCo78__D095,81,,78.0,,10.8262169977617,10.812808715361907,11551,5.0
TXLO test 57050,TXLO,FE,S1,135,57050,TXLO_81LoPowCo96__D095,81,,96.0,,12.460187797761701,12.401323763067646,11587,5.0
TXLO test 57050,TXLO,FE,S2,-40,57050,TXLO_81LoPowCo96__D095,81,,96.0,,11.644131647761698,11.629258308827065,11902,5.0
TXLO test 57050,TXLO,FE,S3,25,57050,TXLO_81LoPowCo96__D095,81,,96.0,,12.310364597761701,12.298298482516849,11558,5.0
TXLO test 57051,TXLO,FE,S1,135,57051,TXLO_81LoPowCo112_D095,81,,112.0,,13.5778398477617,13.526676513514625,10944,5.0
TXLO test 57051,TXLO,FE,S2,-40,57051,TXLO_81LoPowCo112_D095,81,,112.0,,12.3924995477617,12.377889846081027,11900,5.0
TXLO test 57051,TXLO,FE,S3,25,57051,TXLO_81LoPowCo112_D095,81,,112.0,,13.3550323477617,13.343357900527694,11551,5.0
TXLO test 57160,TXLO,FE,S1,135,57160,TXLO_77LoPowCo10__D095,77,,10.0,,-4.691379218873981,-4.734588920302742,12009,5.0
TXLO test 57160,TXLO,FE,S2,-40,57160,TXLO_77LoPowCo10__D095,77,,10.0,,-4.2316255188739795,-4.287084621829062,11844,5.0
TXLO test 57160,TXLO,FE,S3,25,57160,TXLO_77LoPowCo10__D095,77,,10.0,,-4.48749396887398,-4.545260718308565,11496,5.0
TXLO test 57161,TXLO,FE,S1,135,57161,TXLO_77LoPowCo14__D095,77,,14.0,,-2.57565796887398,-2.6196852531099806,11983,5.0
TXLO test 57161,TXLO,FE,S2,-40,57161,TXLO_77LoPowCo14__D095,77,,14.0,,-2.10694246887398,-2.1561724651659064,11866,5.0
TXLO test 57161,TXLO,FE,S3,25,57161,TXLO_77LoPowCo14__D095,77,,14.0,,-2.34718346887398,-2.398364212548443,11501,5.0
TXLO test 57162,TXLO,FE,S1,135,57162,TXLO_77LoPowCo18__D095,77,,18.0,,-0.8216019688739831,-0.8637383264304148,11917,5.0
TXLO test 57162,TXLO,FE,S2,-40,57162,TXLO_77LoPowCo18__D095,77,,18.0,,-0.3692744688739831,-0.41291197726282014,11861,5.0
TXLO test 57162,TXLO,FE,S3,25,57162,TXLO_77LoPowCo18__D095,77,,18.0,,-0.5985044688739833,-0.6413930379145543,11486,5.0
TXLO test 57163,TXLO,FE,S1,135,57163,TXLO_77LoPowCo22__D095,77,,22.0,,0.5421965311260175,0.5036046347860931,11885,5.0
TXLO test 57163,TXLO,FE,S2,-40,57163,TXLO_77LoPowCo22__D095,77,,22.0,,0.9809080311260177,0.9421916420872317,11860,5.0
TXLO test 57163,TXLO,FE,S3,25,57163,TXLO_77LoPowCo22__D095,77,,22.0,,0.778226531126017,0.7413738598204591,11497,5.0
TXLO test 57164,TXLO,FE,S1,135,57164,TXLO_77LoPowCo27__D095,77,,27.0,,1.9784735311260206,1.9428863474628624,11875,5.0
TXLO test 57164,TXLO,FE,S2,-40,57164,TXLO_77LoPowCo27__D095,77,,27.0,,2.406294031126021,2.3728102529454285,11861,5.0
TXLO test 57164,TXLO,FE,S3,25,57164,TXLO_77LoPowCo27__D095,77,,27.0,,2.2010115311260208,2.170169158525898,11511,5.0
TXLO test 57165,TXLO,FE,S1,135,57165,TXLO_77LoPowCo34__D095,77,,34.0,,3.665833531126019,3.633759326416179,11890,5.0
TXLO test 57165,TXLO,FE,S2,-40,57165,TXLO_77LoPowCo34__D095,77,,34.0,,4.04196003112602,4.0134103311176,11877,5.0
TXLO test 57165,TXLO,FE,S3,25,57165,TXLO_77LoPowCo34__D095,77,,34.0,,3.8265175311260213,3.803561440713873,11525,5.0
TXLO test 57166,TXLO,FE,S1,135,57166,TXLO_77LoPowCo42__D095,77,,42.0,,5.205596031126019,5.174025256845596,11882,5.0
TXLO test 57166,TXLO,FE,S2,-40,57166,TXLO_77LoPowCo42__D095,77,,42.0,,5.52378403112602,5.49941630794554,11885,5.0
TXLO test 57166,TXLO,FE,S3,25,57166,TXLO_77LoPowCo42__D095,77,,42.0,,5.332694031126021,5.314002486325951,11529,5.0
TXLO test 57167,TXLO,FE,S1,135,57167,TXLO_77LoPowCo51__D095,77,,51.0,,6.634427031126021,6.6023588696154425,11863,5.0
TXLO test 57167,TXLO,FE,S2,-40,57167,TXLO_77LoPowCo51__D095,77,,51.0,,6.9044705311260195,6.882579962198231,11882,5.0
TXLO test 57167,TXLO,FE,S3,25,57167,TXLO_77LoPowCo51__D095,77,,51.0,,6.74234403112602,6.727015123643144,11533,5.0
TXLO test 57168,TXLO,FE,S1,135,57168,TXLO_77LoPowCo63__D095,77,,63.0,,8.19375353112602,8.156538922371585,11834,5.0
TXLO test 57168,TXLO,FE,S2,-40,57168,TXLO_77LoPowCo63__D095,77,,63.0,,8.41329603112602,8.39462921447337,11890,5.0
TXLO test 57168,TXLO,FE,S3,25,57168,TXLO_77LoPowCo63__D095,77,,63.0,,8.27318003112602,8.260176523417723,11546,5.0
TXLO test 57169,TXLO,FE,S1,135,57169,TXLO_77LoPowCo78__D095,77,,78.0,,9.79071853112602,9.738217863495471,11758,5.0
TXLO test 57169,TXLO,FE,S2,-40,57169,TXLO_77LoPowCo78__D095,77,,78.0,,9.977245631126012,9.961413293419989,11892,5.0
TXLO test 57169,TXLO,FE,S3,25,57169,TXLO_77LoPowCo78__D095,77,,78.0,,9.881322031126007,9.868761697042574,11554,5.0
TXLO test 57170,TXLO,FE,S1,135,57170,TXLO_77LoPowCo96__D095,77,,96.0,,11.361084481126,11.300734435929261,11284,5.0
TXLO test 57170,TXLO,FE,S2,-40,57170,TXLO_77LoPowCo96__D095,77,,96.0,,11.419428231126,11.404120021555737,11891,5.0
TXLO test 57170,TXLO,FE,S3,25,57170,TXLO_77LoPowCo96__D095,77,,96.0,,11.448479081125997,11.434202902721431,11558,5.0
TXLO test 57171,TXLO,FE,S1,135,57171,TXLO_77LoPowCo112_D095,77,,112.0,,12.520508531126001,12.475487423557773,10663,5.0
TXLO test 57171,TXLO,FE,S2,-40,57171,TXLO_77LoPowCo112_D095,77,,112.0,,12.319712531126,12.303007138160666,11884,5.0
TXLO test 57171,TXLO,FE,S3,25,57171,TXLO_77LoPowCo112_D095,77,,112.0,,12.609712531126,12.590761270184844,11539,5.0
TXLO test 57280,TXLO,FE,S1,135,57280,TXLO_76LoPowCo10__D095,76,,10.0,,-4.8172090457176,-4.866002370570608,11987,5.0
TXLO test 57280,TXLO,FE,S2,-40,57280,TXLO_76LoPowCo10__D095,76,,10.0,,-4.7187035957176,-4.7797997607856875,11823,5.0
TXLO test 57280,TXLO,FE,S3,25,57280,TXLO_76LoPowCo10__D095,76,,10.0,,-4.6670289957176,-4.726975420103382,11478,5.0
TXLO test 57281,TXLO,FE,S1,135,57281,TXLO_76LoPowCo14__D095,76,,14.0,,-2.7994509957175997,-2.8460441917042214,11960,5.0
TXLO test 57281,TXLO,FE,S2,-40,57281,TXLO_76LoPowCo14__D095,76,,14.0,,-2.614913495717601,-2.665919272726962,11857,5.0
TXLO test 57281,TXLO,FE,S3,25,57281,TXLO_76LoPowCo14__D095,76,,14.0,,-2.6011569957176004,-2.651473212140704,11496,5.0
TXLO test 57282,TXLO,FE,S1,135,57282,TXLO_76LoPowCo18__D095,76,,18.0,,-1.0345454957176,-1.0783233357344135,11895,5.0
TXLO test 57282,TXLO,FE,S2,-40,57282,TXLO_76LoPowCo18__D095,76,,18.0,,-0.8367089957175957,-0.8817767161767449,11848,5.0
TXLO test 57282,TXLO,FE,S3,25,57282,TXLO_76LoPowCo18__D095,76,,18.0,,-0.9309569957175992,-0.9733091960311331,11482,5.0
TXLO test 57283,TXLO,FE,S1,135,57283,TXLO_76LoPowCo22__D095,76,,22.0,,0.3357545042824026,0.29596592872647265,11872,5.0
TXLO test 57283,TXLO,FE,S2,-40,57283,TXLO_76LoPowCo22__D095,76,,22.0,,0.5279900042824028,0.48891076379315745,11855,5.0
TXLO test 57283,TXLO,FE,S3,25,57283,TXLO_76LoPowCo22__D095,76,,22.0,,0.4388555042824036,0.4031801493398347,11492,5.0
TXLO test 57284,TXLO,FE,S1,135,57284,TXLO_76LoPowCo27__D095,76,,27.0,,1.7933675042824007,1.7567338727078894,11864,5.0
TXLO test 57284,TXLO,FE,S2,-40,57284,TXLO_76LoPowCo27__D095,76,,27.0,,1.9634515042824,1.9283908338470301,11852,5.0
TXLO test 57284,TXLO,FE,S3,25,57284,TXLO_76LoPowCo27__D095,76,,27.0,,1.8963490042823992,1.866581385574236,11503,5.0
TXLO test 57285,TXLO,FE,S1,135,57285,TXLO_76LoPowCo34__D095,76,,34.0,,3.4653575042824,3.4333522064351074,11892,5.0
TXLO test 57285,TXLO,FE,S2,-40,57285,TXLO_76LoPowCo34__D095,76,,34.0,,3.591829004282399,3.5628027786526073,11869,5.0
TXLO test 57285,TXLO,FE,S3,25,57285,TXLO_76LoPowCo34__D095,76,,34.0,,3.5712245042824,3.548404904039597,11532,5.0
TXLO test 57286,TXLO,FE,S1,135,57286,TXLO_76LoPowCo42__D095,76,,42.0,,4.990275004282401,4.95896159966883,11878,5.0
TXLO test 57286,TXLO,FE,S2,-40,57286,TXLO_76LoPowCo42__D095,76,,42.0,,5.0837415042824,5.059667445359841,11880,5.0
TXLO test 57286,TXLO,FE,S3,25,57286,TXLO_76LoPowCo42__D095,76,,42.0,,5.089858004282401,5.071719465073517,11528,5.0
TXLO test 57287,TXLO,FE,S1,135,57287,TXLO_76LoPowCo51__D095,76,,51.0,,6.409092504282404,6.375841346999868,11864,5.0
TXLO test 57287,TXLO,FE,S2,-40,57287,TXLO_76LoPowCo51__D095,76,,51.0,,6.489069004282401,6.4672159765046215,11880,5.0
TXLO test 57287,TXLO,FE,S3,25,57287,TXLO_76LoPowCo51__D095,76,,51.0,,6.5092720042823995,6.494254824395101,11535,5.0
TXLO test 57288,TXLO,FE,S1,135,57288,TXLO_76LoPowCo63__D095,76,,63.0,,7.9565105042824005,7.916473977503486,11819,5.0
TXLO test 57288,TXLO,FE,S2,-40,57288,TXLO_76LoPowCo63__D095,76,,63.0,,8.0175960042824,7.999213886180112,11888,5.0
TXLO test 57288,TXLO,FE,S3,25,57288,TXLO_76LoPowCo63__D095,76,,63.0,,8.040697504282399,8.027290084620208,11545,5.0
TXLO test 57289,TXLO,FE,S1,135,57289,TXLO_76LoPowCo78__D095,76,,78.0,,9.5629174042824,9.505474248320663,11708,5.0
