group,insertion,test_number,n_before,n_after,n_removed,mad_multiplier
TXLO test 57040,S1,57040,12243,12070,173,5.0
TXLO test 57040,S2,57040,12028,11900,128,5.0
TXLO test 57040,S3,57040,11785,11540,245,5.0
TXLO test 57041,S1,57041,12243,12024,219,5.0
TXLO test 57041,S2,57041,12028,11888,140,5.0
TXLO test 57041,S3,57041,11785,11558,227,5.0
TXLO test 57042,S1,57042,12243,11957,286,5.0
TXLO test 57042,S2,57042,12028,11870,158,5.0
TXLO test 57042,S3,57042,11785,11531,254,5.0
TXLO test 57043,S1,57043,12243,11931,312,5.0
TXLO test 57043,S2,57043,12028,11866,162,5.0
TXLO test 57043,S3,57043,11785,11524,261,5.0
TXLO test 57044,S1,57044,12243,11897,346,5.0
TXLO test 57044,S2,57044,12028,11868,160,5.0
TXLO test 57044,S3,57044,11785,11519,266,5.0
TXLO test 57045,S1,57045,12243,11888,355,5.0
TXLO test 57045,S2,57045,12028,11884,144,5.0
TXLO test 57045,S3,57045,11785,11532,253,5.0
TXLO test 57046,S1,57046,12243,11874,369,5.0
TXLO test 57046,S2,57046,12028,11897,131,5.0
TXLO test 57046,S3,57046,11785,11537,248,5.0
TXLO test 57047,S1,57047,12243,11852,391,5.0
TXLO test 57047,S2,57047,12028,11894,134,5.0
TXLO test 57047,S3,57047,11785,11536,249,5.0
TXLO test 57048,S1,57048,12243,11826,417,5.0
TXLO test 57048,S2,57048,12028,11902,126,5.0
TXLO test 57048,S3,57048,11785,11545,240,5.0
TXLO test 57049,S1,57049,12243,11781,462,5.0
TXLO test 57049,S2,57049,12028,11904,124,5.0
TXLO test 57049,S3,57049,11785,11551,234,5.0
TXLO test 57050,S1,57050,12243,11587,656,5.0
TXLO test 57050,S2,57050,12028,11902,126,5.0
TXLO test 57050,S3,57050,11785,11558,227,5.0
TXLO test 57051,S1,57051,12243,10944,1299,5.0
TXLO test 57051,S2,57051,12028,11900,128,5.0
TXLO test 57051,S3,57051,11785,11551,234,5.0
TXLO test 57160,S1,57160,12243,12009,234,5.0
TXLO test 57160,S2,57160,12028,11844,184,5.0
TXLO test 57160,S3,57160,11785,11496,289,5.0
TXLO test 57161,S1,57161,12243,11983,260,5.0
TXLO test 57161,S2,57161,12028,11866,162,5.0
